"Symbol","Description","Percentage Below 52 Week High","Price","Average Volume (10 Day)"
"AVDL","Avadel Pharmaceuticals PLC","0.04%","$23.56","2,662,060"
"VTR","Ventas Inc","0.12%","$78.00","3,164,680"
"K","Kellanova","0.16%","$83.32","1,896,230"
"TRP","TC Energy Corp","0.25%","$55.23","2,608,270"
"MRUS","Merus NV","0.34%","$95.95","1,080,100"
"MD","Pediatrix Medical Group Inc","0.34%","$23.15","1,331,560"
"AZN","AstraZeneca PLC","0.37%","$89.10","4,913,890"
"CNTA","Centessa Pharmaceuticals PLC","0.40%","$27.61","3,128,870"
"OUT","OUTFRONT Media Inc","0.41%","$22.08","2,833,880"
"RNA","Avidity Biosciences Inc","0.41%","$70.80","5,154,570"
"FYBR","Frontier Communications Parent Inc","0.42%","$37.81","2,641,930"
"WELL","Welltower Inc","0.52%","$193.82","3,120,570"
"CDTX","Cidara Therapeutics Inc","0.52%","$217.71","2,383,310"
"TTE","TotalEnergies SE","0.55%","$65.40","1,053,600"
"SMFG","Sumitomo Mitsui Financial Group Inc","0.57%","$17.48","2,690,040"
"AL","Air Lease Corp","0.62%","$63.90","1,747,950"
"JNJ","Johnson & Johnson","0.63%","$195.93","7,257,720"
"ALL","Allstate Corp","0.65%","$214.30","1,488,730"
"PSX","Phillips 66","0.65%","$142.32","2,298,700"
"WBD","Warner Bros Discovery Inc","0.69%","$23.03","36,991,470"
"SONY","Sony Group Corp","0.73%","$30.12","4,116,120"
"DINO","HF Sinclair Corp","0.74%","$56.16","2,131,250"
"SU","Suncor Energy Inc","0.76%","$44.36","5,224,060"
"LLY","Eli Lilly and Co","0.81%","$1,025.28","5,244,080"
"BHF","Brighthouse Financial Inc","0.83%","$65.78","3,318,390"
"ORI","Old Republic International Corp","0.92%","$44.35","1,928,350"
"CYTK","Cytokinetics Inc","0.94%","$66.44","1,967,560"
"BNS","Bank of Nova Scotia","0.95%","$67.45","1,432,110"
"OHI","Omega Healthcare Investors Inc","0.97%","$43.97","1,954,500"
"EW","Edwards Lifesciences Corp","1.04%","$86.30","3,745,460"
"HIG","Hartford Insurance Group Inc","1.05%","$133.85","1,255,820"
"SBS","Companhia de Saneamento Basico do Estado de Sao Paulo - SABESP","1.07%","$26.83","1,254,350"
"AER","AerCap Holdings NV","1.07%","$136.86","1,470,600"
"FRO","Frontline Plc","1.13%","$25.48","2,337,020"
"AXIA","Centrais Eletricas Brasileiras SA - Eletrobras","1.13%","$11.79","2,374,500"
"ATXS","Astria Therapeutics Inc","1.14%","$12.57","1,134,160"
"TRV","Travelers Companies Inc","1.14%","$287.29","1,417,060"
"MPC","Marathon Petroleum Corp","1.14%","$199.98","2,546,930"
"VLO","Valero Energy Corp","1.18%","$181.76","2,246,140"
"NYT","New York Times Co","1.25%","$63.94","2,652,110"
"AFL","Aflac Inc","1.29%","$114.34","2,272,360"
"DHT","DHT Holdings Inc","1.30%","$13.67","2,064,530"
"EA","Electronic Arts Inc","1.32%","$201.06","1,887,240"
"TJX","TJX Companies Inc","1.37%","$146.08","4,871,560"
"CAH","Cardinal Health Inc","1.42%","$205.37","2,790,310"
"BKD","Brookdale Senior Living Inc","1.42%","$10.43","4,257,380"
"FRGE","Forge Global Holdings Inc","1.45%","$44.11","1,308,090"
"FTI","TechnipFMC PLC","1.45%","$43.69","3,079,180"
"HCA","HCA Healthcare Inc","1.53%","$472.65","1,261,040"
"AEE","Ameren Corp","1.60%","$105.02","1,734,860"
"PARR","Par Pacific Holdings Inc","1.62%","$43.80","1,255,830"
"AEP","American Electric Power Company Inc","1.63%","$121.30","3,705,390"
"AMX","America Movil SAB de CV","1.65%","$23.22","1,907,470"
"VRDN","Viridian Therapeutics Inc","1.71%","$28.77","2,092,370"
"PUK","Prudential PLC","1.75%","$28.55","1,002,010"
"GLUE","Monte Rosa Therapeutics Inc","1.77%","$14.36","1,105,440"
"AAPL","Apple Inc","1.77%","$272.41","47,553,680"
"MNST","Monster Beverage Corp","1.80%","$71.31","7,101,040"
"HASI","HA Sustainable Infrastructure Capital Inc","1.84%","$33.65","1,771,260"
"RVMD","Revolution Medicines Inc","1.84%","$67.75","2,758,120"
"B","Barrick Mining Corp","1.86%","$37.03","17,090,740"
"CNP","CenterPoint Energy Inc","1.88%","$39.74","4,548,690"
"WRB","W R Berkley Corp","1.89%","$77.00","2,683,520"
"CSCO","Cisco Systems Inc","1.89%","$78.00","29,123,940"
"TD","Toronto-Dominion Bank","1.91%","$81.35","2,073,300"
"COR","Cencora Inc","1.91%","$361.94","1,790,630"
"RY","Royal Bank of Canada","1.93%","$146.56","1,128,390"
"PTCT","PTC Therapeutics Inc","1.95%","$75.30","1,498,970"
"CME","CME Group Inc","1.98%","$285.04","1,927,940"
"SQM","Sociedad Quimica y Minera de Chile SA","1.99%","$54.55","1,712,420"
"NVS","Novartis AG","2.04%","$131.26","1,450,080"
"GILD","Gilead Sciences Inc","2.08%","$125.02","7,403,760"
